uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,7
AC,OUTRAS,DOMICILIO,"< 9",M,15
AC,OUTRAS,HOSPITAL,"< 9",F,30
AC,OUTRAS,HOSPITAL,"< 9",M,55
AC,OUTRAS,IGNORADO,"< 9",M,1
AC,OUTRAS,OUTRO,"< 9",F,2
AC,OUTRAS,OUTRO,"< 9",M,7
AC,OUTRAS,VIA_PUBLICA,"< 9",M,1
AC,INDETERMINADA,DOMICILIO,"< 9",M,1
AC,INDETERMINADA,HOSPITAL,"< 9",M,2
AC,INDETERMINADA,VIA_PUBLICA,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,11
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,8
AC,PNEUMONIA,DOMICILIO,"< 9",F,1
AC,PNEUMONIA,DOMICILIO,"< 9",M,3
AC,PNEUMONIA,HOSPITAL,"< 9",F,28
AC,PNEUMONIA,HOSPITAL,"< 9",M,43
AC,PNEUMONIA,IGNORADO,"< 9",M,1
AC,PNEUMONIA,OUTRO,"< 9",F,1
AC,PNEUMONIA,OUTRO,"< 9",M,2
AC,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,44
AC,SEPTICEMIA,HOSPITAL,"< 9",M,51
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AC,SRAG,HOSPITAL,"< 9",F,2
AL,OUTRAS,DOMICILIO,"< 9",F,11
AL,OUTRAS,DOMICILIO,"< 9",M,18
AL,OUTRAS,HOSPITAL,"< 9",F,226
AL,OUTRAS,HOSPITAL,"< 9",I,2
AL,OUTRAS,HOSPITAL,"< 9",M,258
AL,OUTRAS,IGNORADO,"< 9",M,2
AL,OUTRAS,OUTRO,"< 9",F,1
AL,OUTRAS,OUTRO,"< 9",M,1
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,6
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,3
AL,OUTRAS,VIA_PUBLICA,"< 9",F,3
AL,OUTRAS,VIA_PUBLICA,"< 9",M,3
AL,INDETERMINADA,HOSPITAL,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",M,1
AL,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,30
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,31
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AL,PNEUMONIA,DOMICILIO,"< 9",F,1
AL,PNEUMONIA,HOSPITAL,"< 9",F,33
AL,PNEUMONIA,HOSPITAL,"< 9",M,61
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,SEPTICEMIA,DOMICILIO,"< 9",F,2
AL,SEPTICEMIA,HOSPITAL,"< 9",F,84
AL,SEPTICEMIA,HOSPITAL,"< 9",I,1
AL,SEPTICEMIA,HOSPITAL,"< 9",M,118
AL,SRAG,DOMICILIO,"< 9",F,1
AL,SRAG,OUTRO,"< 9",F,1
AL,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AM,OUTRAS,DOMICILIO,"< 9",F,24
AM,OUTRAS,DOMICILIO,"< 9",M,34
AM,OUTRAS,HOSPITAL,"< 9",F,308
AM,OUTRAS,HOSPITAL,"< 9",I,6
AM,OUTRAS,HOSPITAL,"< 9",M,384
AM,OUTRAS,IGNORADO,"< 9",F,1
AM,OUTRAS,IGNORADO,"< 9",I,2
AM,OUTRAS,IGNORADO,"< 9",M,6
AM,OUTRAS,OUTRO,"< 9",F,5
AM,OUTRAS,OUTRO,"< 9",M,7
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,3
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AM,INDETERMINADA,DOMICILIO,"< 9",F,1
AM,INDETERMINADA,DOMICILIO,"< 9",M,1
AM,INDETERMINADA,HOSPITAL,"< 9",M,2
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,4
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,42
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,65
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
AM,PNEUMONIA,AMBULANCIA,"< 9",F,1
AM,PNEUMONIA,DOMICILIO,"< 9",F,3
AM,PNEUMONIA,HOSPITAL,"< 9",F,67
AM,PNEUMONIA,HOSPITAL,"< 9",M,85
AM,PNEUMONIA,OUTRO,"< 9",F,2
AM,SEPTICEMIA,HOSPITAL,"< 9",F,131
AM,SEPTICEMIA,HOSPITAL,"< 9",M,166
AM,SEPTICEMIA,OUTRO,"< 9",F,1
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AM,SRAG,HOSPITAL,"< 9",F,5
